trial_index,pair_id,left_ori,right_ori,stim_on_s,stim_off_s
0,0-90,0,90,2.5051302000065334,1.9271875999984331
1,45-135,135,45,4.027516000001924,3.460673499997938
2,0-90,90,0,5.560879900003783,4.994191899997531
3,45-135,45,135,7.094366799996351,6.527610699995421
