trial_index,pair_id,left_ori,right_ori,left_tf_hz,right_tf_hz,stim_on_s,stim_off_s
0,0.0-90.0,0.0,90.0,4.0,4.0,3.0600016999960644,1.5448589000006905
1,0.0-90.0,90.0,0.0,4.0,4.0,4.593077099998482,3.078865700008464
2,0.0-90.0,0.0,90.0,4.0,4.0,6.1280047000036575,4.59503150000819
