trial_index,pair_id,left_ori,right_ori,left_tf_hz,right_tf_hz,stim_on_s,stim_off_s
0,0.0-90.0,0.0,90.0,4.0,4.0,3.05015419999836,1.5386425000033341
1,0.0-90.0,90.0,0.0,4.0,4.0,4.577898000003188,3.071882899996126
2,0.0-90.0,0.0,90.0,4.0,4.0,6.111390999998548,4.5890114000067115
