trial_index,pair_id,left_ori,right_ori,stim_on_s,stim_off_s
0,0-90,0,90,0.5769443000026513,1.6009369999956107
1,45-135,135,45,2.1108184000040637,3.141953400001512
2,0-90,90,0,3.6797159999987343,4.676967999999761
3,45-135,45,135,5.216228499994031,5.5423766000021715
