trial_index,left_type,right_type,left_ori,right_ori,left_tf_hz,right_tf_hz,stim_on_s,stim_off_s
1,B,A,135.0,45.0,-4.0,4.0,2.53378120000707,1.9396877999970457
2,B,A,135.0,45.0,-4.0,4.0,4.045537199999671,3.472788400002173
3,B,A,135.0,45.0,-4.0,4.0,5.578551600003266,5.006765600002836
4,B,A,135.0,45.0,-4.0,4.0,7.112839599998551,6.539615300003788
5,B,A,135.0,45.0,-4.0,4.0,8.645398399996338,8.056555200004368
