trial_index,left_type,right_type,left_ori,right_ori,left_sf_cpd,right_sf_cpd,left_size_deg,right_size_deg,left_sf_cyc_per_pix,right_sf_cyc_per_pix,left_size_pix,right_size_pix,stim_on_s,stim_off_s
1,B,A,45.0,0.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,25.039671699982136,3.4806703999638557
2,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,26.50278330000583,5.01359769992996
3,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,28.035141000058502,6.5309945999179035
4,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,29.553083600010723,7.568596899975091
