trial_index,left_type,right_type,left_ori,right_ori,left_sf_cpd,right_sf_cpd,left_size_deg,right_size_deg,left_sf_cyc_per_pix,right_sf_cyc_per_pix,left_size_pix,right_size_pix,stim_on_s,stim_off_s
1,B,A,135.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,2.365006900043227,1.7032713000662625
2,A,B,45.0,135.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,3.8759021000005305,2.992649700026959
