trial_index,left_type,right_type,left_ori,right_ori,left_sf_cpd,right_sf_cpd,left_size_deg,right_size_deg,left_sf_cyc_per_pix,right_sf_cyc_per_pix,left_size_pix,right_size_pix,stim_on_s,stim_off_s
1,B,A,45.0,0.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,3.1094576000468805,1.7485551999416202
2,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,4.635415900032967,3.2814050000160933
3,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,6.167893200065009,4.814492599922232
4,A,B,0.0,45.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,7.700768499984406,6.331981799914502
5,B,A,45.0,0.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,9.218526400043629,7.86451310000848
6,B,A,45.0,0.0,0.08,0.08,100.0,100.0,0.010185657789271966,0.010185657789271966,785,785,10.753143200068735,9.397522100014612
