trial_index,left_type,right_type,left_ori,right_ori,left_tf_hz,right_tf_hz,stim_on_s,stim_off_s
1,B,A,135.0,45.0,-2.0,2.0,2.551399100004346,1.9454222000058508
2,A,B,45.0,135.0,2.0,-2.0,4.047631900000852,3.4784631000075024
3,B,A,135.0,45.0,-2.0,2.0,5.5796014000079595,5.011812500000815
4,A,B,45.0,135.0,2.0,-2.0,7.113159100001212,6.54523469999549
