trial_index,left_type,right_type,left_ori,right_ori,left_tf_hz,right_tf_hz,stim_on_s,stim_off_s
1,B,A,225.0,45.0,2.0,2.0,2.5310788999922806,5.941308900000877
2,A,B,45.0,225.0,2.0,2.0,8.051939799988759,11.475295800002641
3,B,A,225.0,45.0,2.0,2.0,13.584018299996387,17.008925999994972
4,A,B,45.0,225.0,2.0,2.0,19.11791409998841,22.54258559999289
