trial_index,left_type,right_type,left_ori,right_ori,left_tf_hz,right_tf_hz,stim_on_s,stim_off_s
1,B,A,225.0,45.0,-2.0,2.0,2.5135173999879044,5.939411899991683
2,A,B,45.0,225.0,2.0,-2.0,8.022538999997778,11.473287599990726
3,B,A,225.0,45.0,-2.0,2.0,13.555995699993218,14.240120899994508
4,A,B,45.0,225.0,2.0,-2.0,16.323168999995687,14.906704099994386
