date,	EphysFolder,	PassiveFolder,	TaskFile
260408,	CnL43_20260408,	CnL43_passive_20260408_173753.rec,	CnL43_drifting_grating_exp_20260408_173941.txt
260721,	CnL43_20260721,	CnL43_grating_20260721_121206.rec,	CnL43_drifting_grating_exp_20260721_121218.txt
